Period,InvCapBank,InvResBank,InvComBank,InvComLoan,InvLabBank,InvMacro,ConsumRes,ConsumLab,ConsumCap,Demand,DemandPlan,DemandSurplus,GoodProduction,GoodPrice,Investment,InvestmentRes,InvestmentLab,Repayment,WagesPayment,RepaysPayment,Diff,DividendDecision,DividendPayment,DividendIncome,AccLabBank,AccLabLab,AccLabGood,AccResBank,AccResRes,AccResGood,AccCapBank,AccCapDiv,AccCapGood,AccComBank,AccComLoan,AccComDiv,AccComRes,AccComLab,AccComGood,AccBankComLoan,AccBankComBank,AccBankLabBank,AccBankResBank,AccBankCapBank
13,0.0,0.0,0.0,0.0,0.0,0.0,110.68962597369564,367.3327453731715,76.97578529649824,554.9981566433654,762.7144198722854,-207.71626322891996,8.951352445320907,85.20661257964153,145.4834348788903,116.38674790311225,29.096686975778063,14.548343487889031,338.98418660990467,169.4920933049523,20.981993275362697,65.54838769448739,54.63657042892379,54.63657042892379,386.6660477612332,1014.9525166225081,4.726775506493934,138.36203246711955,1219.3725223121467,1.5294536431549268,128.29297549416376,54.63657042892379,2.1711132104149318,156.00272175795743,809.3237774804744,54.63657042892379,4.540854044112929,30.470279456324832,48.849516220556296,809.3237774804744,156.00272175795737,386.6660477612332,138.36203246711955,128.29297549416376
14,0.0,0.0,0.0,0.0,0.0,0.0,115.24732351722892,340.40161454806804,63.57225637595358,519.2211944412505,715.9261465953522,-196.70495215410165,8.559425935698236,83.64184140077502,150.65261802344455,120.52209441875564,30.13052360468891,15.065261802344455,318.1893984868232,159.09469924341158,6.5192326212171565,71.77177090651062,65.54838769448739,65.54838769448739,358.3174889979664,1086.7038344050159,4.547421380912735,144.05915439653614,1314.7170523960222,1.7579092824860278,105.9537606265893,65.54838769448739,1.7718468273801211,176.98471503332013,785.3151190544124,65.54838769448739,4.655469916124489,28.24868221749206,51.28731132753547,785.3151190544124,176.98471503331996,358.3174889979664,144.05915439653614,105.9537606265893
15,0.0,0.0,0.0,0.0,0.0,0.0,119.46714023845033,319.30000928988545,64.75793516707385,503.52508469540965,680.2434902865875,-176.71840559117788,8.27209092670531,82.23356057300033,160.36830840383087,128.2946467230647,32.07366168076617,16.036830840383086,302.3304401273723,151.16522006368612,10.33131527860678,74.95127635360593,71.77177090651062,71.77177090651062,336.1052729367215,1160.1880511977806,4.29712382493025,149.3339252980629,1409.896168619272,1.9052396703517134,107.9298919451231,71.77177090651062,1.4687920166197228,183.50394765453728,776.8730378344454,71.77177090651062,4.820883776750224,26.515783207235273,53.63906433607551,776.8730378344454,183.50394765453723,336.1052729367215,149.3339252980629,107.9298919451231
16,0.0,0.0,0.0,0.0,0.0,0.0,126.52914542614181,303.17891858549785,68.96623661073592,498.67430062237554,656.5835953585379,-157.90929473616234,8.108727959168563,80.97245322136338,169.8877081313132,135.91016650505057,33.97754162626264,16.988770813131318,291.8149312704613,145.9074656352306,19.97816898934036,80.53083052165869,74.95127635360595,74.95127635360595,319.1357037742083,1234.993847853833,4.097699242976428,158.16143178267725,1504.7643827503493,2.0243502972494705,114.94372768455987,74.95127635360595,1.3750047217502268,193.83526293314407,786.0761261745902,74.95127635360595,5.131785868922589,25.19420334394769,55.788045899804615,786.0761261745902,193.835262933144,319.1357037742083,158.16143178267725,114.94372768455987
17,0.0,0.0,0.0,0.0,0.0,0.0,134.03396228926883,292.3831306362131,72.55726045645795,498.97435338193986,646.4612573911118,-147.4869040091719,8.02298873909501,80.57611426537191,175.31139110621052,140.2491128849684,35.0622782212421,17.53113911062105,287.31611439604967,143.6580571980248,22.531629487448754,88.90511719211109,80.53083052165869,80.53083052165869,307.77171645917167,1310.6759369146278,3.9491079234646165,167.54245286158604,1599.3279760901473,2.169924725759582,120.92876742742992,80.53083052165869,1.4017265662542617,213.81343192248443,810.0563686706728,80.53083052165869,5.436406660202024,24.317910939205106,57.73820658351847,810.0563686706728,213.81343192248448,307.77171645917167,167.54245286158604,120.92876742742992
18,0.0,0.0,0.0,0.0,0.0,0.0,139.0060827658285,287.5694652080578,77.3414024955784,503.91695046946467,649.5536377629876,-145.63668729352293,7.9963797286597105,81.23096448695797,176.2848734216295,141.02789873730362,35.256974684325904,17.62848734216295,288.6905056724389,144.34525283621946,17.233049453021067,97.12298198192644,88.9051171921111,88.9051171921111,302.70470021900826,1386.7329273816235,3.826113011422202,173.75760345728563,1693.7180115747485,2.3144227639236115,128.90233749263066,88.9051171921111,1.4611716327896924,236.34506140993318,841.7097025788585,88.9051171921111,5.609964515398738,23.943009533004144,59.56861135488078,841.7097025788585,236.34506140993324,302.70470021900826,173.75760345728563,128.90233749263066
19,0.0,0.0,0.0,0.0,0.0,0.0,140.62353554300861,288.6344536492199,84.27963131349803,513.5376205057265,663.7863767490745,-150.248756243348,8.03119250299197,82.65103550958155,173.86416682087,139.091333456696,34.772833364174,17.386416682087,295.0161674440331,147.50808372201655,8.663220721924631,102.73072745347041,97.12298198192644,97.12298198192644,303.82574068338937,1462.6753852422537,3.7314515422800345,175.77941942876075,1788.0768956252564,2.405571840777882,140.46605218916338,97.12298198192644,1.5365859027885178,253.57811086295425,873.6493231642685,97.12298198192644,5.6411159494921455,24.057542139369914,61.361482930558125,873.6493231642685,253.5781108629543,303.82574068338937,175.77941942876075,140.46605218916338
20,0.0,0.0,0.0,0.0,0.0,0.0,139.3977738739585,294.6970817542924,91.98564171455509,526.080497342806,686.5925065983364,-160.51200925553042,8.12176655767286,84.53733577822342,168.54951999208185,134.8396159936655,33.70990399841637,16.854951999208186,305.15222515481616,152.57611257740808,-0.6686638444722348,104.89653263395155,102.73072745347042,102.73072745347042,310.2074544782026,1538.0907046219177,3.6787787166941786,174.24721734244812,1882.5132422869885,2.4230844223323293,153.3094028575918,102.73072745347042,1.6343388426609247,262.2413315848789,900.0054062631219,102.73072745347042,5.56365333826784,24.584680620336087,63.17935194232544,900.0054062631219,262.2413315848788,310.2074544782026,174.24721734244812,153.3094028575918
21,0.0,0.0,0.0,0.0,0.0,0.0,135.7512475697241,304.6294679847899,98.4326931579043,538.8134087124183,715.6478136217737,-176.83440490935538,8.248032571467407,86.76588112629784,160.31071016753148,128.2485681340252,32.0621420335063,16.03107101675315,318.06569494301056,159.03284747150525,-11.1195243025428,104.62906709616266,104.89653263395155,104.89653263395155,320.6625978787263,1612.661352525683,3.66993809870643,169.68905946215511,1977.1196576472419,2.3758745464817936,164.05448859650716,104.89653263395155,1.7418422400703846,261.57266774040664,915.9788136777956,104.89653263395155,5.39358463974662,25.42935209623468,65.07806341433846,915.9788136777956,261.5726677404066,320.6625978787263,169.68905946215511,164.05448859650716
22,0.0,0.0,0.0,0.0,0.0,0.0,129.74910402116495,317.3938835950996,102.31099684353265,549.4539844597972,730.1764889209492,-180.72250446115197,8.383786113415322,87.09388324596648,158.38817073916013,126.71053659132811,31.677634147832027,15.838817073916013,324.5228839648663,162.26144198243315,-10.281774435832745,100.18125737514555,104.62906709616266,104.62906709616266,334.09882483694696,1686.1558779470988,3.6944330474654277,162.1863800264562,2071.989714921881,2.2773318215187928,170.51832807255443,104.62906709616266,1.8312000269289288,250.45314343786384,917.2566763738218,104.62906709616266,5.1299427253610075,26.505474578584213,67.11612725480073,917.2566763738218,250.4531434378638,334.09882483694696,162.1863800264562,170.51832807255443
